Status Indicator,Create Date,Maintenance Date,Responsible IT Area,Impact Category,Purpose Group,Emergency / Time Senstive
Completed,11/22/2016 16:02,11/23/2016,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,11/18/2016 9:11,11/21/2016,Multi-Team (Indicate groups in Additional Information),,Preventive,
Completed,10/18/2016 14:57,11/19/2016,ERP / SAP,,Preventive,
Completed,10/3/2016 16:13,11/19/2016,Network Infrastructure,,Enhancement,
Completed,11/8/2016 9:02,11/18/2016,Network Operations (Server / SAN),,Fix / Patch,
Completed,11/7/2016 16:32,11/18/2016,Network Operations (Server / SAN),,Fix / Patch,
Completed,11/8/2016 9:02,11/17/2016,Network Operations (Server / SAN),,Fix / Patch,
Completed,11/15/2016 10:46,11/16/2016,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,11/7/2016 15:23,11/16/2016,Network Operations (Server / SAN),,Fix / Patch,
Completed,11/15/2016 9:16,11/15/2016,ERP / SAP,,Security,TRUE
Completed,11/7/2016 8:18,11/11/2016,ERP / SAP,,Enhancement,
Completed,11/4/2016 13:53,11/9/2016,Network Operations (Server / SAN),,Fix / Patch,
Completed,11/4/2016 13:50,11/9/2016,Network Operations (Server / SAN),,Fix / Patch,
Completed,11/1/2016 14:47,11/2/2016,ERP / SAP,,New Implementation,TRUE
Completed,11/1/2016 9:37,11/1/2016,Network Operations (Server / SAN),,Fix / Patch,
Completed,10/25/2016 14:26,10/31/2016,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,10/20/2016 9:23,10/29/2016,ERP / SAP,,Preventive,
Completed,10/3/2016 16:04,10/27/2016,Network Infrastructure,,Enhancement,
Completed,10/18/2016 12:49,10/22/2016,Network Infrastructure,,Enhancement,TRUE
Completed,10/13/2016 16:45,10/22/2016,ERP / SAP,,Preventive,
Completed,10/7/2016 8:44,10/17/2016,GIS,,New Implementation,
Completed,10/14/2016 10:57,10/14/2016,Network Infrastructure,,Enhancement,
Completed,9/30/2016 14:43,10/13/2016,Network Infrastructure,,Enhancement,
Completed,9/29/2016 14:49,10/8/2016,ERP / SAP,,Preventive,TRUE
Completed,9/28/2016 11:26,10/5/2016,Multi-Team (Indicate groups in Additional Information),,Preventive,
Completed,10/4/2016 11:00,10/4/2016,Network Operations (Server / SAN),,Enhancement,
Completed,9/15/2016 11:10,10/4/2016,GIS,,Preventive,
Completed,9/20/2016 10:27,9/29/2016,Network Infrastructure,,Enhancement,
Completed,9/19/2016 12:25,9/29/2016,Network Infrastructure,,Security,
Completed,9/20/2016 12:17,9/27/2016,Network Operations (Server / SAN),,Preventive,
Completed,9/15/2016 11:37,9/22/2016,Network Infrastructure,,Enhancement,
Completed,9/15/2016 10:59,9/22/2016,Network Operations (Server / SAN),,Enhancement,
Completed,8/30/2016 9:29,9/22/2016,ERP / SAP,,Enhancement,
Completed,9/13/2016 9:20,9/15/2016,Network Infrastructure,,Enhancement,
Completed,8/31/2016 13:48,9/10/2016,ERP / SAP,,Preventive,TRUE
Completed,8/17/2016 11:45,9/10/2016,ERP / SAP,,Preventive,
Completed,8/31/2016 14:52,9/9/2016,ERP / SAP,,Fix / Patch,TRUE
Completed,9/1/2016 11:42,9/8/2016,Network Infrastructure,,Enhancement,
Completed,8/24/2016 11:12,9/7/2016,GIS,,Enhancement,
Completed,8/17/2016 11:44,8/28/2016,ERP / SAP,,Preventive,
Completed,7/11/2016 12:31,8/26/2016,ERP / SAP,,Enhancement,
Completed,8/25/2016 16:10,8/25/2016,ERP / SAP,,New Implementation,TRUE
Completed,8/24/2016 16:57,8/25/2016,,,Fix / Patch,
Completed,8/25/2016 15:58,8/24/2016,Network Operations (Server / SAN),,Enhancement,
Completed,8/25/2016 10:13,8/24/2016,Network Infrastructure,,Fix / Patch,TRUE
Completed,8/23/2016 13:25,8/23/2016,ERP / SAP,,Fix / Patch,TRUE
Completed,8/18/2016 14:12,8/18/2016,ERP / SAP,,Fix / Patch,TRUE
Completed,7/21/2016 14:42,8/18/2016,Network Operations (Server / SAN),,Fix / Patch,
Completed,8/16/2016 16:23,8/17/2016,Network Infrastructure,,Preventive,
Completed,8/16/2016 16:16,8/16/2016,Network Infrastructure,,Preventive,
Completed,7/27/2016 10:38,8/12/2016,GIS,,Preventive,
Completed,8/10/2016 11:08,8/11/2016,Network Infrastructure,,Preventive,
Completed,7/11/2016 13:41,8/6/2016,Network Operations (Server / SAN),,Enhancement,
Completed,7/11/2016 12:26,8/6/2016,ERP / SAP,,Enhancement,
Completed,7/18/2016 10:14,8/4/2016,GIS,,Security,
Completed,7/11/2016 13:29,7/30/2016,Network Operations (Server / SAN),,Enhancement,
Completed,7/11/2016 13:23,7/28/2016,Network Operations (Server / SAN),,Enhancement,
Completed,7/7/2016 15:56,7/23/2016,Network Operations (Server / SAN),,Preventive,
Completed,6/16/2016 12:33,7/23/2016,ERP / SAP,,New Implementation,
Completed,7/13/2016 9:21,7/21/2016,Security,,Fix / Patch,
Completed,7/20/2016 11:22,7/20/2016,ERP / SAP,,Fix / Patch,TRUE
Completed,6/16/2016 12:30,7/15/2016,ERP / SAP,,New Implementation,
Completed,6/16/2016 12:27,7/14/2016,ERP / SAP,,New Implementation,
Completed,7/6/2016 14:31,7/6/2016,ERP / SAP,,Fix / Patch,
Completed,7/6/2016 14:29,7/5/2016,ERP / SAP,,Fix / Patch,
Completed,6/16/2016 12:20,7/3/2016,ERP / SAP,,New Implementation,
Completed,6/16/2016 12:18,7/2/2016,ERP / SAP,,New Implementation,
Completed,6/16/2016 12:14,7/2/2016,ERP / SAP,,New Implementation,TRUE
Completed,6/17/2016 11:53,7/1/2016,Network Infrastructure,,Enhancement,
Completed,6/14/2016 14:51,6/30/2016,Network Infrastructure,,New Implementation,TRUE
Completed,6/16/2016 15:14,6/29/2016,GIS,,Fix / Patch,
Completed,6/27/2016 12:21,6/27/2016,Network Operations (Server / SAN),,Fix / Patch,TRUE
Completed,6/23/2016 14:15,6/24/2016,Network Operations (Server / SAN),,Preventive,
Completed,6/20/2016 10:15,6/21/2016,Network Operations (Server / SAN),,Enhancement,
Completed,6/20/2016 10:12,6/21/2016,Network Operations (Server / SAN),,Enhancement,
Completed,6/15/2016 12:28,6/18/2016,Network Operations (Server / SAN),,Preventive,
Completed,6/15/2016 12:23,6/18/2016,Network Operations (Server / SAN),,Preventive,
Completed,6/15/2016 12:15,6/18/2016,Multi-Team (Indicate groups in Additional Information),,Preventive,
